STT,iso_code,country,population_2021,population_2020,area,density,growth_rate,world_percent,rank
97,ISR,Israel,8868656,8655535,20770,426.9935483870968,2.4622510335871706,0.11340925885782796,99.0
98,CHE,Switzerland,8752564,8654622,41284,212.0086231954268,1.1316727639866908,0.11192471512546052,100.0
99,SRB,Serbia,8674489,8737371,88361,98.17101436153959,-0.719690167671716,0.11092631944010245,101.0
100,TGO,Togo,8596357,8278724,56785,151.38429162630976,3.836738608510193,0.1099271948587589,102.0
101,SLE,Sierra Leone,8238113,7976983,71740,114.83291051017564,3.273543393536138,0.10534609637774177,103.0
102,HKG,Hong Kong,7585785,7496981,1104,6871.182065217391,1.1845301462015234,0.09700435496706925,104.0
103,LAO,Laos,7439920,7275560,236800,31.418581081081083,2.259070092199078,0.09513908456495905,105.0
104,PRY,Paraguay,7270717,7132538,406752,17.875061462512786,1.9373047854774894,0.09297537601357075,106.0
105,LBY,Libya,7007887,6871292,1759540,3.98279493503984,1.987908533067717,0.08961439826163146,107.0
106,BGR,Bulgaria,6866274,6948445,110879,61.925829056899865,-1.1825811386576457,0.08780350094250738,108.0
107,LBN,Lebanon,6752766,6825445,10452,646.0740528128588,-1.0648243447863082,0.0863520004948145,109.0
108,NIC,Nicaragua,6748507,6624554,130373,51.76307210848872,1.8711146440952842,0.08629753789828629,110.0
109,KGZ,Kyrgyzstan,6689349,6524195,199951,33.454941460657864,2.531408089427134,0.0855410461665615,111.0
110,SLV,El Salvador,6537250,6486205,21041,310.69103179506675,0.7869779015618583,0.08359605756140906,112.0
111,TKM,Turkmenistan,6168788,6031200,488100,12.638369186642082,2.2812707255604137,0.07888429488426013,113.0
112,SGP,Singapore,5925135,5850342,710,8345.260563380281,1.278438081055766,0.07576854587465975,114.0
113,DNK,Denmark,5825798,5792202,43094,135.18814684178773,0.5800212078238998,0.07449825919907328,115.0
114,FIN,Finland,5553102,5540720,338424,16.408712148074606,0.22347276166274632,0.07101111850340369,117.0
115,NOR,Norway,5492570,5421241,323802,16.962742663726598,1.3157319514111254,0.07023705654213447,118.0
116,SVK,Slovakia,5460937,5459642,49037,111.36360299365785,0.023719503952812637,0.0698325448454975,119.0
117,OMN,Oman,5296006,5106626,309500,17.111489499192245,3.7085151722487497,0.0677234651300727,120.0
118,PSE,Palestine,5293440,5101414,6220,851.0353697749196,3.764172051121517,0.06769065202307778,121.0
119,LBR,Liberia,5252834,5057681,111369,47.166033635931,3.8585470297553437,0.06717139675314951,122.0
120,CRI,Costa Rica,5165346,5094118,51100,101.08309197651663,1.3982400878817414,0.06605263092899828,123.0
121,IRL,Ireland,5008554,4937786,70273,71.27280747940176,1.433192933027061,0.064047629887709,124.0
122,CAF,Central African Republic,4971922,4829767,622984,7.9808181269502905,2.943309687610185,0.06357919273438159,125.0
123,NZL,New Zealand,4883704,4822233,270467,18.05656142893588,1.2747413905549676,0.06245109192655684,126.0
124,MRT,Mauritania,4848828,4649658,1030700,4.704402833026099,4.2835408539724895,0.0620051098846414,127.0
125,PAN,Panama,4420589,4314767,75417,58.61528567829534,2.4525542167166847,0.056528939921118466,128.0
126,KWT,Kuwait,4366698,4270571,17818,245.07228645190256,2.2509167977771583,0.055839800735980695,129.0
127,HRV,Croatia,4067642,4105267,56594,71.87408559211224,-0.9165055525012122,0.05201557761615436,130.0
128,MDA,Moldova,4017984,4033963,33846,118.71370324410566,-0.39611171446044535,0.05138056854867423,131.0
129,GEO,Georgia,3973946,3989167,69700,57.01500717360115,-0.3815583554160562,0.050817426067831475,132.0
130,ERI,Eritrea,3633796,3546421,117600,30.899625850340136,2.4637514835379015,0.04646770730542935,133.0
131,URY,Uruguay,3491832,3473730,181034,19.288266292519637,0.5211113126236011,0.04465232152155266,134.0
132,MNG,Mongolia,3359247,3278290,1564110,2.147705084680745,2.469488666347397,0.04295687109640762,135.0
